-52, 9999872, 9999873, 9999874, 9999875, 9999876, 9999877, 9999878, 9999879, 9999880, 9999881, 
-51, 9999882, 9999883, 9999884, 9999885, 9999886, 9999887, 9999888, 9999889, 9999890, 9999891, 
-50, 9999892, 9999893, 9999894, 9999895, 9999896, 9999897, 9999898, 9999899, 9999900, 9999901, 
-49, 9999902, 9999903, 9999904, 9999905, 9999906, 9999907, 9999908, 9999909, 9999910, 9999911, 
-48, 9999912, 9999913, 9999914, 9999915, 9999916, 9999917, 9999918, 9999919, 9999920, 9999921, 
-47, 9999922, 9999923, 9999924, 9999925, 9999926, 9999927, 9999928, 9999929, 9999930, 9999931, 
-46, 9999932, 9999933, 9999934, 9999935, 9999936, 9999937, 9999938, 9999939, 9999940, 9999941, 
-45, 9999942, 9999943, 9999944, 9999945, 9999946, 9999947, 9999948, 9999949, 9999950, 9999951, 
-44, 9999952, 9999953, 9999954, 9999955, 9999956, 9999957, 9999958, 9999959, 9999960, 9999961, 
-43, 9999962, 9999963, 9999964, 9999965, 9999966, 9999967, 9999968, 9999969, 9999970, 9999971, 
-42, 9999972, 9999973, 9999974, 9999975, 9999976, 9999977, 9999978, 9999979, 9999980, 9999981, 
-41, 9999982, 9999983, 9999984, 9999985, 9999986, 9999987, 9999988, 9999989, 9999990, 9999991, 
-40, 9999992, 9999993, 9999994, 9999995, 9999996, 9999997, 9999998, 9999999, 10000000, 10000001, 
-39, 10000002, 10000003, 10000004, 10000005, 10000006, 10000007, 10000008, 10000009, 10000010, 10000011, 
-38, 10000012, 10000013, 10000014, 10000015, 10000016, 10000017, 10000018, 10000019, 10000020, 10000021, 
-37, 10000022, 10000023, 10000024, 10000025, 10000026, 10000027, 10000028, 10000029, 10000030, 10000031, 
-36, 10000032, 10000033, 10000034, 10000035, 10000036, 10000037, 10000038, 10000039, 10000040, 10000041, 
-35, 10000042, 10000043, 10000044, 10000045, 10000046, 10000047, 10000048, 10000049, 10000050, 10000051, 
-34, 10000052, 10000053, 10000054, 10000055, 10000056, 10000057, 10000058, 10000059, 10000060, 10000061, 
-33, 10000062, 10000063, 10000064, 10000065, 10000066, 10000067, 10000068, 10000069, 10000070, 10000071, 
-32, 10000072, 10000073, 10000074, 10000075, 10000076, 10000077, 10000078, 10000079, 10000080, 10000081, 
-31, 10000082, 10000083, 10000084, 10000085, 10000086, 10000087, 10000088, 10000089, 10000090, 10000091, 
-30, 10000092, 10000093, 10000094, 10000095, 10000096, 10000097, 10000098, 10000099, 10000100, 10000101, 
-29, 10000102, 10000103, 10000104, 10000105, 10000106, 10000107, 10000108, 10000109, 10000110, 10000111, 
-28, 10000112, 10000113, 10000114, 10000115, 10000116, 10000117, 10000118, 10000119, 10000120, 10000121, 
-27, 10000122, 10000123, 10000124, 10000125, 10000126, 10000127, 10000128, 10000129, 10000130, 10000131, 
-26, 10000132, 10000133, 10000134, 10000135, 10000136, 10000137, 10000138, 10000139, 10000140, 10000141, 
-25, 10000142, 10000143, 10000144, 10000145, 10000146, 10000147, 10000148, 10000149, 10000150, 10000151, 
-24, 10000152, 10000153, 10000154, 10000155, 10000156, 10000157, 10000158, 10000159, 10000160, 10000161, 
-23, 10000162, 10000163, 10000164, 10000165, 10000166, 10000167, 10000168, 10000169, 10000170, 10000171, 
-22, 10000172, 10000173, 10000174, 10000175, 10000176, 10000177, 10000178, 10000179, 10000180, 10000181, 
-21, 10000182, 10000183, 10000184, 10000185, 10000186, 10000187, 10000188, 10000189, 10000190, 10000191, 
-20, 10000192, 10000193, 10000194, 10000195, 10000196, 10000197, 10000198, 10000199, 10000200, 10000201, 
-19, 10000202, 10000203, 10000204, 10000205, 10000206, 10000207, 10000208, 10000209, 10000210, 10000211, 
-18, 10000212, 10000213, 10000214, 10000215, 10000216, 10000217, 10000218, 10000219, 10000220, 10000221, 
-17, 10000222, 10000223, 10000224, 10000225, 10000226, 10000227, 10000228, 10000229, 10000230, 10000231, 
-16, 10000232, 10000233, 10000234, 10000235, 10000236, 10000237, 10000238, 10000239, 10000240, 10000241, 
-15, 10000242, 10000243, 10000244, 10000245, 10000246, 10000247, 10000248, 10000249, 10000250, 10000251, 
-14, 10000252, 10000253, 10000254, 10000255, 10000256, 10000257, 10000258, 10000259, 10000260, 10000261, 
-13, 10000262, 10000263, 10000264, 10000265, 10000266, 10000267, 10000268, 10000269, 10000270, 10000271, 
-12, 10000272, 10000273, 10000274, 10000275, 10000276, 10000277, 10000278, 10000279, 10000280, 10000281, 
-11, 10000282, 10000283, 10000284, 10000285, 10000286, 10000287, 10000288, 10000289, 10000290, 10000291, 
-10, 10000292, 10000293, 10000294, 10000295, 10000296, 10000297, 10000298, 10000299, 10000300, 10000301, 
-9, 10000302, 10000303, 10000304, 10000305, 10000306, 10000307, 10000308, 10000309, 10000310, 10000311, 
-8, 10000312, 10000313, 10000314, 10000315, 10000316, 10000317, 10000318, 10000319, 10000320, 10000321, 
-7, 10000322, 10000323, 10000324, 10000325, 10000326, 10000327, 10000328, 10000329, 10000330, 10000331, 
-6, 10000332, 10000333, 10000334, 10000335, 10000336, 10000337, 10000338, 10000339, 10000340, 10000341, 
-5, 10000342, 10000343, 10000344, 10000345, 10000346, 10000347, 10000348, 10000349, 10000350, 10000351, 
-4, 10000352, 10000353, 10000354, 10000355, 10000356, 10000357, 10000358, 10000359, 10000360, 10000361, 
-3, 10000362, 10000363, 10000364, 10000365, 10000366, 10000367, 10000368, 10000369, 10000370, 10000371, 
-2, 10000372, 10000373, 10000374, 10000375, 10000376, 10000377, 10000378, 10000379, 10000380, 10000381, 
-1, 10000382, 10000383, 
